2023-06-01		12:18:12	bcaac84c-92b0-4b1f-94b0-b5b368a99edf	 GET	undefined	/
2023-06-01		12:18:12	041d9468-9ddc-4953-8bb8-033139e150ff	 GET	undefined	/css/style.css 
2023-06-01		12:31:01	08998f8e-150a-4124-9014-49ef27742348	 OPTIONS	https://www.google.com	/ 
2023-06-01		12:31:01	c2621823-4458-4e4b-935a-0bb9a289fcbf	 GET	https://www.google.com	/ 
2023-06-01		12:33:54	5574354d-c519-41ab-92e0-704ad880f04a	 OPTIONS	https://www.google.com	/ 
2023-06-01		12:33:54	7a1e66ba-484d-4919-9d1d-852f4d03d815	 GET	https://www.google.com	/ 
2023-06-01		12:36:26	67a494ae-4a93-420c-841c-def24f44fced	 OPTIONS	https://www.google.com	/ 
2023-06-01		12:36:26	0b50f8f9-dfc5-40d0-99bb-0fbb43fa4e65	 GET	https://www.google.com	/ 
2023-06-01		12:38:17	edfac9aa-45ee-4718-8a6f-aa1415ecf7d3	 OPTIONS	https://www.google.com	/ 
2023-06-01		12:38:17	228f9251-f9da-4182-886d-e1e1e2902a06	 GET	https://www.google.com	/ 
2023-06-01		12:39:39	7b9f88af-a3cd-476b-a3e8-fd520889aeb8	 OPTIONS	https://www.google.com	/ 
2023-06-01		12:39:39	76d339f8-e295-410b-af17-de085a574fa2	 GET	https://www.google.com	/ 
2023-06-01		12:41:17	235c7a27-0515-487a-8b5c-16e8c10c606e	 OPTIONS	https://www.google.com	/ 
2023-06-01		12:41:17	81f03836-5c0b-4f08-badd-119fc00cfc1b	 GET	https://www.google.com	/ 
2023-06-01		12:41:29	df00b71d-36f1-4116-a31f-81aac79c333a	 OPTIONS	https://www.google.com	/ 
2023-06-01		12:41:29	42f49831-81e7-4de2-9e31-ccd21d716815	 GET	https://www.google.com	/ 
2023-06-01		12:47:20	cb4b68ed-cbc1-4feb-b753-4ca08862d420	 OPTIONS	https://www.google.com	/ 
2023-06-01		12:47:20	7d560c0e-40fb-4d86-ad96-13eadb5a2ee1	 GET	https://www.google.com	/ 
2023-06-01		12:55:42	44805652-f25a-41d9-98bd-a18487fcde19	 OPTIONS	https://www.google.com	/ 
2023-06-01		12:55:42	0de7df93-f505-4643-b686-b5dd9fb473b5	 GET	https://www.google.com	/ 
2023-06-01		12:58:59	1425d221-8010-4355-b2ce-cd3f001e6498	 OPTIONS	https://www.google.com	/ 
2023-06-01		12:58:59	93089ab5-9580-4f0c-86fd-333fedf7a823	 GET	https://www.google.com	/ 
2023-06-01		12:59:11	9f9430f7-8d42-44a1-80e2-01dc771fb485	 OPTIONS	https://www.google.com	/ 
2023-06-01		12:59:11	6d1af4e9-bfbb-481c-9850-685089a5b6c3	 GET	https://www.google.com	/ 
2023-06-01		13:00:54	d81c0236-ecb8-4b8f-b811-8c36a7359b38	 GET	https://www.google.com	/ 
2023-06-01		13:01:31	2ad36113-56f6-4234-926f-a360b0906db9	 GET	https://www.youtube.com	/ 
2023-06-01		13:09:29	0dfd4b18-220b-4a57-88df-67738c16c774	 OPTIONS	https://www.google.com	/ 
2023-06-01		13:09:29	f5ed08c5-0ff9-4a75-befa-63a5db651fce	 GET	https://www.google.com	/ 
2023-06-01		13:09:37	ef977be7-dc66-4da6-98c2-10a14acf28bd	 OPTIONS	https://www.google.com	/ 
2023-06-01		13:09:37	c801cb4d-99ce-4d43-bcce-10b7430d025f	 GET	https://www.google.com	/ 
2023-06-01		13:12:42	21bf5bfd-52b4-41f8-9eae-c4216897f2e3	 OPTIONS	https://www.google.com	/ 
2023-06-01		13:12:42	272b72da-7312-4ba2-b9a5-cabb9c0a6a50	 GET	https://www.google.com	/ 
2023-06-01		13:21:24	d0ba6c8a-d2c1-469e-bf97-451b0dd47595	 OPTIONS	https://www.google.com	/ 
2023-06-01		13:21:24	4fd7e80f-c24a-40f3-8286-f09b642b4654	 GET	https://www.google.com	/ 
2023-06-01		13:22:15	fc79dfe9-f196-48fc-bcba-4fc3330f7372	 OPTIONS	https://www.google.com	/ 
2023-06-01		13:22:16	13b53839-4f6a-49ed-97e1-333b157958e2	 GET	https://www.google.com	/ 
2023-06-01		13:24:43	ec960d45-a275-421f-8905-89e3d951aa86	 OPTIONS	https://www.google.com	/ 
2023-06-01		13:24:43	ce9138c2-e1be-49df-90ec-a03554a277dc	 GET	https://www.google.com	/ 
